Pokedex with Leading 0,Pokedex Name,Full Name,Prefix,Name,Suffix,Form,National Pokedex,Deck: 1 - 97,Rename,Regional Pokedex,Type,,Generation,Images pokemondb,Images pokedex,Images bulbapedia
008, Wartortle,Wartortle,,Wartortle,,,8,x,008 - Wartortle,008,Water,,I - Kanto,https://img.pokemondb.net/artwork/large/wartortle.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/008.png,https://bulbapedia.bulbagarden.net/wiki/File:008Wartortle.png
009, Blastoise,Blastoise,,Blastoise,,,9,x,009 - Blastoise,009,Water,,I - Kanto,https://img.pokemondb.net/artwork/large/blastoise.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/009.png,https://bulbapedia.bulbagarden.net/wiki/File:009Blastoise.png
009,Gigantamax Blastoise,Blastoise Gigantamax,,Blastoise,Gigantamax,,9,x,009 - Blastoise Gigantamax,009,Water,,I - Kanto,https://img.pokemondb.net/artwork/large/blastoise-gigantamax.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/009.png,https://bulbapedia.bulbagarden.net/wiki/File:009Blastoise-Gigantamax.png
009,Mega Blastoise,Blastoise Mega,,Blastoise,Mega,,9,x,009 - Blastoise Mega,009,Water,,I - Kanto,https://img.pokemondb.net/artwork/large/blastoise-mega.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/009.png,https://bulbapedia.bulbagarden.net/wiki/File:009Blastoise-Mega.png
010, Caterpie,Caterpie,,Caterpie,,,10,x,010 - Caterpie,010,Bug,,I - Kanto,https://img.pokemondb.net/artwork/large/caterpie.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/010.png,https://bulbapedia.bulbagarden.net/wiki/File:010Caterpie.png
011, Metapod,Metapod,,Metapod,,,11,x,011 - Metapod,011,Bug,,I - Kanto,https://img.pokemondb.net/artwork/large/metapod.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/011.png,https://bulbapedia.bulbagarden.net/wiki/File:011Metapod.png
012, Butterfree,Butterfree,,Butterfree,,,12,x,012 - Butterfree,012,Bug,Flying,I - Kanto,https://img.pokemondb.net/artwork/large/butterfree.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/012.png,https://bulbapedia.bulbagarden.net/wiki/File:012Butterfree.png
012,Gigantamax Butterfree,Butterfree Gigantamax,,Butterfree,Gigantamax,,12,x,012 - Butterfree Gigantamax,012,Bug,Flying,I - Kanto,https://img.pokemondb.net/artwork/large/butterfree-gigantamax.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/012.png,https://bulbapedia.bulbagarden.net/wiki/File:012Butterfree-Gigantamax.png
013, Weedle,Weedle,,Weedle,,,13,x,013 - Weedle,013,Bug,Poison,I - Kanto,https://img.pokemondb.net/artwork/large/weedle.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/013.png,https://bulbapedia.bulbagarden.net/wiki/File:013Weedle.png
014, Kakuna,Kakuna,,Kakuna,,,14,x,014 - Kakuna,014,Bug,Poison,I - Kanto,https://img.pokemondb.net/artwork/large/kakuna.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/014.png,https://bulbapedia.bulbagarden.net/wiki/File:014Kakuna.png
015, Beedrill,Beedrill,,Beedrill,,,15,x,015 - Beedrill,015,Bug,Poison,I - Kanto,https://img.pokemondb.net/artwork/large/beedrill.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/015.png,https://bulbapedia.bulbagarden.net/wiki/File:015Beedrill.png
015,Mega Beedrill,Beedrill Mega,,Beedrill,Mega,,15,x,015 - Beedrill Mega,015,Bug,Poison,I - Kanto,https://img.pokemondb.net/artwork/large/beedrill-mega.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/015.png,https://bulbapedia.bulbagarden.net/wiki/File:015Beedrill-Mega.png
016, Pidgey,Pidgey,,Pidgey,,,16,z,016 - Pidgey,016,Normal,Flying,I - Kanto,https://img.pokemondb.net/artwork/large/pidgey.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/016.png,https://bulbapedia.bulbagarden.net/wiki/File:016Pidgey.png
017, Pidgeotto,Pidgeotto,,Pidgeotto,,,17,x,017 - Pidgeotto,017,Normal,Flying,I - Kanto,https://img.pokemondb.net/artwork/large/pidgeotto.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/017.png,https://bulbapedia.bulbagarden.net/wiki/File:017Pidgeotto.png
018, Pidgeot,Pidgeot,,Pidgeot,,,18,x,018 - Pidgeot,018,Normal,Flying,I - Kanto,https://img.pokemondb.net/artwork/large/pidgeot.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/018.png,https://bulbapedia.bulbagarden.net/wiki/File:018Pidgeot.png
018,Mega Pidgeot,Pidgeot Mega,,Pidgeot,Mega,,18,x,018 - Pidgeot Mega,018,Normal,Flying,I - Kanto,https://img.pokemondb.net/artwork/large/pidgeot-mega.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/018.png,https://bulbapedia.bulbagarden.net/wiki/File:018Pidgeot-Mega.png
019, Rattata,Rattata,,Rattata,,,19,,019 - Rattata,019,Normal,,I - Kanto,https://img.pokemondb.net/artwork/large/rattata.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/019.png,https://bulbapedia.bulbagarden.net/wiki/File:019Rattata.png
019,Alolan Rattata,Rattata Alola,,Rattata,Alola,,19,,019 - Rattata Alola,019,Dark,Normal,I - Kanto,https://img.pokemondb.net/artwork/large/rattata-alola.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/019.png,https://bulbapedia.bulbagarden.net/wiki/File:019Rattata-Alola.png
020, Raticate,Raticate,,Raticate,,,20,,020 - Raticate,020,Normal,,I - Kanto,https://img.pokemondb.net/artwork/large/raticate.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/020.png,https://bulbapedia.bulbagarden.net/wiki/File:020Raticate.png
020,Alolan Raticate,Raticate Alola,,Raticate,Alola,,20,,020 - Raticate Alola,020,Dark,Normal,I - Kanto,https://img.pokemondb.net/artwork/large/raticate-alola.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/020.png,https://bulbapedia.bulbagarden.net/wiki/File:020Raticate-Alola.png
021, Spearow,Spearow,,Spearow,,,21,x,021 - Spearow,021,Normal,Flying,I - Kanto,https://img.pokemondb.net/artwork/large/spearow.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/021.png,https://bulbapedia.bulbagarden.net/wiki/File:021Spearow.png
022, Fearow,Fearow,,Fearow,,,22,x,022 - Fearow,022,Normal,Flying,I - Kanto,https://img.pokemondb.net/artwork/large/fearow.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/022.png,https://bulbapedia.bulbagarden.net/wiki/File:022Fearow.png
023, Ekans,Ekans,,Ekans,,,23,x,023 - Ekans,023,Poison,,I - Kanto,https://img.pokemondb.net/artwork/large/ekans.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/023.png,https://bulbapedia.bulbagarden.net/wiki/File:023Ekans.png
024, Arbok,Arbok,,Arbok,,,24,x,024 - Arbok,024,Poison,,I - Kanto,https://img.pokemondb.net/artwork/large/arbok.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/024.png,https://bulbapedia.bulbagarden.net/wiki/File:024Arbok.png
025, Pikachu,Pikachu,,Pikachu,,,25,x,025 - Pikachu,025,Electric,,I - Kanto,https://img.pokemondb.net/artwork/large/pikachu.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,https://bulbapedia.bulbagarden.net/wiki/File:025Pikachu.png
025,Gigantamax Pikachu,Pikachu Gigantamax,,Pikachu,Gigantamax,,25,x,025 - Pikachu Gigantamax,025,Electric,,I - Kanto,https://img.pokemondb.net/artwork/large/pikachu-gigantamax.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,https://bulbapedia.bulbagarden.net/wiki/File:025Pikachu-Gigantamax.png
025,Belle Pikachu,Pikachu Belle,,Pikachu,Belle,,25,x,025 - Pikachu Belle,025,Electric,,I - Kanto,https://img.pokemondb.net/artwork/large/pikachu-belle.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,https://bulbapedia.bulbagarden.net/wiki/File:025Pikachu-Belle.png
025,Cosplay Pikachu,Pikachu Cosplay,,Pikachu,Cosplay,,25,x,025 - Pikachu Cosplay,025,Electric,,I - Kanto,https://img.pokemondb.net/artwork/large/pikachu-cosplay.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,https://bulbapedia.bulbagarden.net/wiki/File:025Pikachu-Cosplay.png
025,Libre Pikachu,Pikachu Libre,,Pikachu,Libre,,25,x,025 - Pikachu Libre,025,Electric,,I - Kanto,https://img.pokemondb.net/artwork/large/pikachu-libre.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,https://bulbapedia.bulbagarden.net/wiki/File:025Pikachu-Libre.png
025,PhD Pikachu,Pikachu PhD,,Pikachu,PhD,,25,x,025 - Pikachu PhD,025,Electric,,I - Kanto,https://img.pokemondb.net/artwork/large/pikachu-phd.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,https://bulbapedia.bulbagarden.net/wiki/File:025Pikachu-PhD.png
025,Pop Star Pikachu,Pikachu Pop Star,,Pikachu,Pop Star,,25,x,025 - Pikachu Pop Star,025,Electric,,I - Kanto,https://img.pokemondb.net/artwork/large/pikachu-pop-star.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,https://bulbapedia.bulbagarden.net/wiki/File:025Pikachu-Pop-Star.png
025,Rock Star Pikachu,Pikachu Rock Star,,Pikachu,Rock Star,,25,x,025 - Pikachu Rock Star,025,Electric,,I - Kanto,https://img.pokemondb.net/artwork/large/pikachu-rock-star.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,https://bulbapedia.bulbagarden.net/wiki/File:025Pikachu-Rock-Star.png
144, Articuno,Articuno,,Articuno,,,144,,144 - Articuno,144,Ice,Flying,I - Kanto,https://img.pokemondb.net/artwork/large/articuno.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/144.png,https://bulbapedia.bulbagarden.net/wiki/File:144Articuno.png
144,Galarian Articuno,Articuno Galar,,Articuno,Galar,,144,,144 - Articuno Galar,144,Ice,Flying,I - Kanto,https://img.pokemondb.net/artwork/large/articuno-galar.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/144.png,https://bulbapedia.bulbagarden.net/wiki/File:144Articuno-Galar.png
222, Corsola,Corsola,,Corsola,,,222,,222 - Corsola,173,Water,Rock,II - Johto,https://img.pokemondb.net/artwork/large/corsola.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/222.png,https://bulbapedia.bulbagarden.net/wiki/File:222Corsola.png
222,Galarian Corsola,Corsola Galar,,Corsola,Galar,,222,,222 - Corsola Galar,173,Water,Rock,II - Johto,https://img.pokemondb.net/artwork/large/corsola-galar.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/222.png,https://bulbapedia.bulbagarden.net/wiki/File:222Corsola-Galar.png
027, Sandshrew,Sandshrew,,Sandshrew,,,27,,027 - Sandshrew,027,Ground,,I - Kanto,https://img.pokemondb.net/artwork/large/sandshrew.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/027.png,https://bulbapedia.bulbagarden.net/wiki/File:027Sandshrew.png
027,Alolan Sandshrew,Sandshrew Alola,,Sandshrew,Alola,,27,,027 - Sandshrew Alola,027,Ice,Steel,I - Kanto,https://img.pokemondb.net/artwork/large/sandshrew-alola.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/027.png,https://bulbapedia.bulbagarden.net/wiki/File:027Sandshrew-Alola.png
028, Sandslash,Sandslash,,Sandslash,,,28,,028 - Sandslash,028,Ground,,I - Kanto,https://img.pokemondb.net/artwork/large/sandslash.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/028.png,https://bulbapedia.bulbagarden.net/wiki/File:028Sandslash.png
028,Alolan Sandslash,Sandslash Alola,,Sandslash,Alola,,28,,028 - Sandslash Alola,028,Ice,Steel,I - Kanto,https://img.pokemondb.net/artwork/large/sandslash-alola.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/028.png,https://bulbapedia.bulbagarden.net/wiki/File:028Sandslash-Alola.png
029, Nidoran♀,Nidoran♀,,Nidoran♀,,,29,,029 - Nidoran♀,029,Poison,,I - Kanto,https://img.pokemondb.net/artwork/large/nidoran♀.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/029.png,https://bulbapedia.bulbagarden.net/wiki/File:029Nidoran♀.png
030, Nidorina,Nidorina,,Nidorina,,,30,,030 - Nidorina,030,Poison,,I - Kanto,https://img.pokemondb.net/artwork/large/nidorina.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/030.png,https://bulbapedia.bulbagarden.net/wiki/File:030Nidorina.png
031, Nidoqueen,Nidoqueen,,Nidoqueen,,,31,,031 - Nidoqueen,031,Poison,Ground,I - Kanto,https://img.pokemondb.net/artwork/large/nidoqueen.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/031.png,https://bulbapedia.bulbagarden.net/wiki/File:031Nidoqueen.png
032, Nidoran♂,Nidoran♂,,Nidoran♂,,,32,,032 - Nidoran♂,032,Poison,,I - Kanto,https://img.pokemondb.net/artwork/large/nidoran♂.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/032.png,https://bulbapedia.bulbagarden.net/wiki/File:032Nidoran♂.png
033, Nidorino,Nidorino,,Nidorino,,,33,,033 - Nidorino,033,Poison,,I - Kanto,https://img.pokemondb.net/artwork/large/nidorino.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/033.png,https://bulbapedia.bulbagarden.net/wiki/File:033Nidorino.png
034, Nidoking,Nidoking,,Nidoking,,,34,,034 - Nidoking,034,Poison,Ground,I - Kanto,https://img.pokemondb.net/artwork/large/nidoking.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/034.png,https://bulbapedia.bulbagarden.net/wiki/File:034Nidoking.png
035, Clefairy,Clefairy,,Clefairy,,,35,,035 - Clefairy,035,Fairy,,I - Kanto,https://img.pokemondb.net/artwork/large/clefairy.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/035.png,https://bulbapedia.bulbagarden.net/wiki/File:035Clefairy.png
036, Clefable,Clefable,,Clefable,,,36,,036 - Clefable,036,Fairy,,I - Kanto,https://img.pokemondb.net/artwork/large/clefable.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/036.png,https://bulbapedia.bulbagarden.net/wiki/File:036Clefable.png
103, Exeggutor,Exeggutor,,Exeggutor,,,103,,103 - Exeggutor,103,Grass,Psychic,I - Kanto,https://img.pokemondb.net/artwork/large/exeggutor.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/103.png,https://bulbapedia.bulbagarden.net/wiki/File:103Exeggutor.png
103,Alolan Exeggutor,Exeggutor Alola,,Exeggutor,Alola,,103,,103 - Exeggutor Alola,103,Grass,Psychic,I - Kanto,https://img.pokemondb.net/artwork/large/exeggutor-alola.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/103.png,https://bulbapedia.bulbagarden.net/wiki/File:103Exeggutor-Alola.png
083, Farfetch'd,Farfetch'd,,Farfetch'd,,,83,x,083 - Farfetch'd,083,Fighting,,I - Kanto,https://img.pokemondb.net/artwork/large/farfetch'd.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/083.png,https://bulbapedia.bulbagarden.net/wiki/File:083Farfetch'd.png
083,Galarian Farfetch'd,Farfetch'd Galar,,Farfetch'd,Galar,,83,x,083 - Farfetch'd Galar,083,Fighting,,I - Kanto,https://img.pokemondb.net/artwork/large/farfetch'd-galar.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/083.png,https://bulbapedia.bulbagarden.net/wiki/File:083Farfetch'd-Galar.png
039, Jigglypuff,Jigglypuff,,Jigglypuff,,,39,x,039 - Jigglypuff,039,Normal,Fairy,I - Kanto,https://img.pokemondb.net/artwork/large/jigglypuff.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/039.png,https://bulbapedia.bulbagarden.net/wiki/File:039Jigglypuff.png
040, Wigglytuff,Wigglytuff,,Wigglytuff,,,40,x,040 - Wigglytuff,040,Normal,Fairy,I - Kanto,https://img.pokemondb.net/artwork/large/wigglytuff.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/040.png,https://bulbapedia.bulbagarden.net/wiki/File:040Wigglytuff.png
041, Zubat,Zubat,,Zubat,,,41,,041 - Zubat,041,Poison,Flying,I - Kanto,https://img.pokemondb.net/artwork/large/zubat.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/041.png,https://bulbapedia.bulbagarden.net/wiki/File:041Zubat.png
042, Golbat,Golbat,,Golbat,,,42,,042 - Golbat,042,Poison,Flying,I - Kanto,https://img.pokemondb.net/artwork/large/golbat.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/042.png,https://bulbapedia.bulbagarden.net/wiki/File:042Golbat.png
043, Oddish,Oddish,,Oddish,,,43,,043 - Oddish,043,Grass,Poison,I - Kanto,https://img.pokemondb.net/artwork/large/oddish.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/043.png,https://bulbapedia.bulbagarden.net/wiki/File:043Oddish.png
044, Gloom,Gloom,,Gloom,,,44,,044 - Gloom,044,Grass,Poison,I - Kanto,https://img.pokemondb.net/artwork/large/gloom.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/044.png,https://bulbapedia.bulbagarden.net/wiki/File:044Gloom.png
045, Vileplume,Vileplume,,Vileplume,,,45,,045 - Vileplume,045,Grass,Poison,I - Kanto,https://img.pokemondb.net/artwork/large/vileplume.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/045.png,https://bulbapedia.bulbagarden.net/wiki/File:045Vileplume.png
046, Paras,Paras,,Paras,,,46,,046 - Paras,046,Bug,Grass,I - Kanto,https://img.pokemondb.net/artwork/large/paras.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/046.png,https://bulbapedia.bulbagarden.net/wiki/File:046Paras.png
047, Parasect,Parasect,,Parasect,,,47,,047 - Parasect,047,Bug,Grass,I - Kanto,https://img.pokemondb.net/artwork/large/parasect.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/047.png,https://bulbapedia.bulbagarden.net/wiki/File:047Parasect.png
048, Venonat,Venonat,,Venonat,,,48,,048 - Venonat,048,Bug,Poison,I - Kanto,https://img.pokemondb.net/artwork/large/venonat.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/048.png,https://bulbapedia.bulbagarden.net/wiki/File:048Venonat.png
049, Venomoth,Venomoth,,Venomoth,,,49,,049 - Venomoth,049,Bug,Poison,I - Kanto,https://img.pokemondb.net/artwork/large/venomoth.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/049.png,https://bulbapedia.bulbagarden.net/wiki/File:049Venomoth.png
050, Diglett,Diglett,,Diglett,,,50,,050 - Diglett,050,Ground,,I - Kanto,https://img.pokemondb.net/artwork/large/diglett.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/050.png,https://bulbapedia.bulbagarden.net/wiki/File:050Diglett.png
050,Alolan Diglett,Diglett Alola,,Diglett,Alola,,50,,050 - Diglett Alola,,,,,https://img.pokemondb.net/artwork/large/diglett-alola.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/050.png,https://bulbapedia.bulbagarden.net/wiki/File:050Diglett-Alola.png
051, Dugtrio,Dugtrio,,Dugtrio,,,51,,051 - Dugtrio,051,Ground,Steel,I - Kanto,https://img.pokemondb.net/artwork/large/dugtrio.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/051.png,https://bulbapedia.bulbagarden.net/wiki/File:051Dugtrio.png
051,Alolan Dugtrio,Dugtrio Alola,,Dugtrio,Alola,,51,,051 - Dugtrio Alola,,,,,https://img.pokemondb.net/artwork/large/dugtrio-alola.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/051.png,https://bulbapedia.bulbagarden.net/wiki/File:051Dugtrio-Alola.png
052, Meowth,Meowth,,Meowth,,,52,x,052 - Meowth,052,Steel,,I - Kanto,https://img.pokemondb.net/artwork/large/meowth.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/052.png,https://bulbapedia.bulbagarden.net/wiki/File:052Meowth.png
052,Gigantamax Meowth,Meowth Gigantamax,,Meowth,Gigantamax,,52,x,052 - Meowth Gigantamax,052,Steel,,I - Kanto,https://img.pokemondb.net/artwork/large/meowth-gigantamax.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/052.png,https://bulbapedia.bulbagarden.net/wiki/File:052Meowth-Gigantamax.png
052,Alolan Meowth,Meowth Alola,,Meowth,Alola,,52,x,052 - Meowth Alola,052,Dark,,I - Kanto,https://img.pokemondb.net/artwork/large/meowth-alola.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/052.png,https://bulbapedia.bulbagarden.net/wiki/File:052Meowth-Alola.png
052,Galarian Meowth,Meowth Galar,,Meowth,Galar,,52,x,052 - Meowth Galar,052,Steel,,I - Kanto,https://img.pokemondb.net/artwork/large/meowth-galar.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/052.png,https://bulbapedia.bulbagarden.net/wiki/File:052Meowth-Galar.png
053, Persian,Persian,,Persian,,,53,x,053 - Persian,053,Normal,,I - Kanto,https://img.pokemondb.net/artwork/large/persian.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/053.png,https://bulbapedia.bulbagarden.net/wiki/File:053Persian.png
053,Alolan Persian,Persian Alola,,Persian,Alola,,53,x,053 - Persian Alola,053,Dark,,I - Kanto,https://img.pokemondb.net/artwork/large/persian-alola.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/053.png,https://bulbapedia.bulbagarden.net/wiki/File:053Persian-Alola.png
054, Psyduck,Psyduck,,Psyduck,,,54,,054 - Psyduck,054,Water,,I - Kanto,https://img.pokemondb.net/artwork/large/psyduck.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/054.png,https://bulbapedia.bulbagarden.net/wiki/File:054Psyduck.png
055, Golduck,Golduck,,Golduck,,,55,,055 - Golduck,055,Water,,I - Kanto,https://img.pokemondb.net/artwork/large/golduck.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/055.png,https://bulbapedia.bulbagarden.net/wiki/File:055Golduck.png
056, Mankey,Mankey,,Mankey,,,56,,056 - Mankey,056,Fighting,,I - Kanto,https://img.pokemondb.net/artwork/large/mankey.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/056.png,https://bulbapedia.bulbagarden.net/wiki/File:056Mankey.png
057, Primeape,Primeape,,Primeape,,,57,,057 - Primeape,057,Fighting,,I - Kanto,https://img.pokemondb.net/artwork/large/primeape.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/057.png,https://bulbapedia.bulbagarden.net/wiki/File:057Primeape.png
058, Growlithe,Growlithe,,Growlithe,,,58,x,058 - Growlithe,058,Fire,,I - Kanto,https://img.pokemondb.net/artwork/large/growlithe.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/058.png,https://bulbapedia.bulbagarden.net/wiki/File:058Growlithe.png
058,Hisuian Growlithe,Growlithe Hisui,,Growlithe,Hisui,,58,x,058 - Growlithe Hisui,058,Fire,,I - Kanto,https://img.pokemondb.net/artwork/large/growlithe-hisui.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/058.png,https://bulbapedia.bulbagarden.net/wiki/File:058Growlithe-Hisui.png
